n,alpha,mean
487,0.0830719,0.508166
489,0.0828795,0.507422
491,0.0830513,0.507054
493,0.0831051,0.505833
495,0.0834131,0.505357
497,0.0833676,0.504278
499,0.0830478,0.504266
501,0.0827923,0.504401
503,0.0829975,0.503894
505,0.0830247,0.503532
507,0.0836243,0.503539
509,0.0834321,0.50308
511,0.0835565,0.503988
513,0.0839513,0.503678
515,0.0842403,0.503442
517,0.0839431,0.503113
519,0.0836844,0.50332
521,0.0835491,0.503938
523,0.0836067,0.504643
525,0.0836247,0.504628
527,0.0841443,0.504536
529,0.0838535,0.504246
531,0.0838008,0.503681
533,0.083729,0.503833
535,0.0836247,0.503189
537,0.0835084,0.50245
539,0.0835742,0.503249
541,0.0832772,0.503048
543,0.0829869,0.502802
545,0.0827484,0.502429
547,0.0826299,0.502396
549,0.0827243,0.503534
551,0.0825445,0.503755
553,0.0825779,0.503829
555,0.0827571,0.503272
557,0.0828897,0.502647
559,0.0829899,0.50179
561,0.0831271,0.501111
563,0.0830356,0.501898
565,0.0831737,0.503125
567,0.0830086,0.502452
569,0.0832799,0.503817
571,0.0830962,0.503262
573,0.0829849,0.50319
575,0.0829191,0.50392
577,0.0830432,0.50273
579,0.0830898,0.501696
581,0.0830469,0.502574
583,0.0833183,0.502409
585,0.0830351,0.502471
587,0.0830658,0.501802
589,0.0832452,0.500551
591,0.083506,0.499217
593,0.0833439,0.499849
595,0.0834937,0.500859
597,0.0832819,0.500465
599,0.0833043,0.501093
601,0.0834614,0.4999
603,0.0834562,0.500278
605,0.0835313,0.50132
607,0.0838173,0.501346
609,0.0838875,0.50145
611,0.0838046,0.501288
613,0.0840843,0.501219
615,0.0839229,0.501446
617,0.083829,0.502122
619,0.0839723,0.503246
621,0.0843336,0.504673
623,0.0843982,0.505584
625,0.0844536,0.50648
627,0.0845655,0.505399
629,0.0845945,0.504433
631,0.0843751,0.504239
633,0.084154,0.503878
635,0.0840409,0.50377
637,0.0839808,0.503392
639,0.0841279,0.502386
641,0.0840269,0.502975
643,0.0838942,0.503608
645,0.0836651,0.50372
647,0.0837576,0.502695
649,0.0839077,0.501623
651,0.0841807,0.501904
653,0.0845836,0.501833
655,0.0845121,0.502542
657,0.0847726,0.502444
659,0.0848217,0.502235
661,0.0847498,0.501494
663,0.0845047,0.501538
665,0.0845149,0.501333
667,0.0846341,0.502389
669,0.0846353,0.502274
671,0.0846202,0.502963
673,0.0844648,0.503456
675,0.0843128,0.502932
677,0.0843911,0.502091
679,0.0842134,0.501961
681,0.083988,0.502017
683,0.0837458,0.501935
685,0.0835541,0.501733
687,0.0835545,0.501041
689,0.0835034,0.501356
691,0.0832787,0.501569
693,0.0835755,0.500335
695,0.0836766,0.500376
697,0.083959,0.500594
699,0.0840388,0.501521
701,0.0839803,0.50124
703,0.0839791,0.501793
705,0.0839392,0.501783
707,0.08384,0.501157
709,0.0839853,0.501213
711,0.0837708,0.501461
713,0.0837784,0.500866
715,0.0841323,0.499582
717,0.0840903,0.498946
719,0.0839666,0.499297
721,0.0843711,0.499308
723,0.0843576,0.498613
725,0.0844238,0.49804
727,0.0846382,0.498279
729,0.084475,0.498642
731,0.0845236,0.498393
733,0.0843311,0.498309
735,0.0841338,0.498601
737,0.084162,0.498945
739,0.0841171,0.499442
741,0.0840094,0.499779
743,0.0840707,0.49894
745,0.0840295,0.498501
747,0.0841078,0.49887
749,0.0840738,0.498967
751,0.0839968,0.498938
753,0.0841266,0.498839
755,0.0840967,0.499149
757,0.0839317,0.499148
759,0.0841013,0.498148
761,0.084278,0.49713
763,0.0842795,0.497564
765,0.0841331,0.497911
767,0.0844508,0.496729
769,0.0844251,0.49714
771,0.0843101,0.496891
773,0.0841637,0.496898
775,0.0841296,0.497404
777,0.0841799,0.498232
779,0.0843328,0.498087
781,0.0841454,0.498324
783,0.0839723,0.498055
785,0.0838318,0.498483
787,0.0837152,0.49799
789,0.0837816,0.497261
791,0.0837555,0.496746
793,0.0835641,0.496632
795,0.0834253,0.496388
797,0.083425,0.496962
799,0.0832802,0.496561
801,0.0832996,0.496999
803,0.0831821,0.497401
805,0.08321,0.496979
807,0.0830435,0.497002
809,0.0830548,0.497457
811,0.0828572,0.497465
813,0.0830388,0.498401
815,0.0831353,0.497973
817,0.0829619,0.49774
819,0.0829679,0.498254
821,0.0828425,0.498386
823,0.0827342,0.498231
825,0.0827569,0.498134
827,0.0825888,0.498346
829,0.0825916,0.499023
831,0.0828495,0.499176
833,0.0827415,0.499564
835,0.0827522,0.499857
837,0.0825734,0.500033
839,0.0824425,0.500354
841,0.0826341,0.500533
843,0.0828883,0.500594
845,0.0831058,0.500662
847,0.0829291,0.500655
849,0.0827359,0.500603
851,0.0828613,0.500708
853,0.0828396,0.501192
855,0.0826752,0.501273
857,0.0827472,0.502003
859,0.0826142,0.501646
861,0.082569,0.501744
863,0.0823824,0.501841
865,0.0823392,0.502144
867,0.0823459,0.502585
869,0.0824,0.503254
871,0.0826835,0.503156
873,0.0827993,0.503065
875,0.0828493,0.503796
877,0.082759,0.503416
879,0.0827221,0.503237
881,0.0829665,0.503288
883,0.083046,0.504068
885,0.0829316,0.503945
887,0.0827872,0.503708
889,0.0827851,0.503709
891,0.0829179,0.50338
893,0.0830096,0.502607
895,0.0830382,0.503167
897,0.0828764,0.503308
899,0.0827101,0.503294
901,0.0826876,0.502786
903,0.0827337,0.503286
905,0.0825698,0.503158
907,0.0825008,0.503658
909,0.0826205,0.504468
911,0.0825452,0.504674
913,0.0827042,0.504936
915,0.0825587,0.505213
917,0.0825327,0.504828
919,0.0826132,0.505553
921,0.0826383,0.506144
923,0.0827967,0.505873
925,0.0827922,0.506068
927,0.0828184,0.506545
929,0.0827669,0.506705
931,0.0829723,0.506737
933,0.0828754,0.507113
935,0.0829185,0.507296
937,0.0829883,0.507925
939,0.0831686,0.507716
941,0.0830028,0.50765
943,0.0828378,0.507787
945,0.0827594,0.507673
947,0.0828183,0.50697
949,0.0828418,0.506397
951,0.0829055,0.506624
953,0.0828176,0.507048
955,0.0826956,0.506926
957,0.0828468,0.506138
959,0.0829476,0.506055
961,0.0828767,0.505835
963,0.0827991,0.505959
965,0.0827486,0.506441
967,0.0826724,0.506862
969,0.082567,0.506807
971,0.0825211,0.507236
973,0.082654,0.506456
975,0.0825496,0.50656
977,0.0823876,0.50653
979,0.0824851,0.50726
981,0.0824542,0.507746
983,0.0824679,0.507199
985,0.0823108,0.507133
987,0.0823575,0.507642
989,0.0824062,0.50735
991,0.0823228,0.506962
993,0.0823388,0.50637
995,0.0823655,0.506049
997,0.0823633,0.506113
999,0.0824679,0.506085
1001,0.0824703,0.506426
1003,0.0827418,0.50736
1005,0.0826149,0.507335
1007,0.0826822,0.507095
1009,0.082689,0.507604
1011,0.0826632,0.508011
1013,0.0827276,0.508447
1015,0.082976,0.508359
1017,0.0829622,0.508618
1019,0.0830044,0.508224
1021,0.0832176,0.509082
1023,0.0831716,0.50861
1025,0.083343,0.508599
1027,0.0833761,0.508799
1029,0.0834356,0.508142
1031,0.0836651,0.507271
1033,0.0837556,0.50689
1035,0.0838526,0.506205
1037,0.0837749,0.506319
1039,0.0837027,0.505907
1041,0.0836502,0.505491
1043,0.0837032,0.50613
1045,0.0836969,0.506038
1047,0.0836661,0.50645
1049,0.0835246,0.506484
1051,0.0833845,0.506665
1053,0.0834195,0.506942
1055,0.0833462,0.507175
1057,0.083448,0.50713
1059,0.0835283,0.506544
1061,0.0834271,0.506238
1063,0.0835648,0.50623
1065,0.0835248,0.505823
1067,0.0835612,0.505738
1069,0.0835764,0.506089
1071,0.0836474,0.505487
1073,0.083633,0.505958
1075,0.0836731,0.50595
1077,0.0837249,0.505614
1079,0.0836521,0.505259
1081,0.0837041,0.504792
1083,0.0837331,0.505373
1085,0.0837854,0.505889
1087,0.0837628,0.505989
1089,0.0836728,0.506329
1091,0.0827007,0.501696
1093,0.0825579,0.501795
1095,0.0828093,0.500938
1097,0.0829022,0.501575
1099,0.0830009,0.50164
1101,0.0830252,0.501223
1103,0.083275,0.501257
1105,0.0834079,0.500541
1107,0.0833024,0.500307
1109,0.0833211,0.500575
1111,0.0832748,0.500841
1113,0.0833599,0.50029
1115,0.0835261,0.499546
1117,0.0836,0.499238
1119,0.0836484,0.499024
1121,0.0835786,0.499398
1123,0.0835578,0.499422
1125,0.0835264,0.499492
1127,0.0836112,0.498894
1129,0.0835967,0.498856
1131,0.0836174,0.498867
1133,0.0835868,0.498755
1135,0.0836442,0.499355
1137,0.0836544,0.49884
1139,0.0835712,0.498776
1141,0.0837226,0.498055
1143,0.0837107,0.497669
1145,0.0837408,0.497129
1147,0.0837102,0.496786
1149,0.0838043,0.496837
1151,0.0837482,0.496695
1153,0.0839126,0.497419
1155,0.0840059,0.497424
1157,0.0840209,0.497381
1159,0.0839765,0.497113
1161,0.0838628,0.496882
1163,0.0839051,0.49637
1165,0.0838354,0.496158
1167,0.0838956,0.496747
1169,0.0838751,0.496322
1171,0.0837394,0.496216
1173,0.0836483,0.496075
1175,0.0836293,0.49628
1177,0.0836057,0.496415
1179,0.083508,0.49662
1181,0.0834065,0.496789
1183,0.0833087,0.49652
1185,0.0832653,0.496458
1187,0.0831271,0.496402
1189,0.0830074,0.49641
1191,0.0831351,0.496218
1193,0.0831994,0.49648
1195,0.0831489,0.496759
1197,0.0830443,0.496964
1199,0.0830667,0.497143
1201,0.0830885,0.497656
1203,0.0831117,0.497167
1205,0.0830873,0.496757
1207,0.0830408,0.496466
1209,0.0831022,0.496864
1211,0.0832743,0.497576
1213,0.0832254,0.497531
1215,0.0831316,0.497279
1217,0.0830462,0.497454
1219,0.0831282,0.498052
1221,0.0831222,0.49824
1223,0.0830244,0.498192
1225,0.0829587,0.497912
1227,0.0829641,0.498388
1229,0.0830437,0.497796
1231,0.0831131,0.49831
1233,0.0832844,0.499014
1235,0.0833471,0.498464
1237,0.0833293,0.498203
1239,0.0832111,0.498221
1241,0.0831105,0.498092
1243,0.0830356,0.497947
1245,0.083013,0.498276
1247,0.0830928,0.497988
1249,0.0829702,0.498086
1251,0.0831154,0.498747
1253,0.082995,0.498631
1255,0.0829051,0.498533
1257,0.0830326,0.498555
1259,0.0830784,0.498078
1261,0.0831956,0.498273
1263,0.0833358,0.497623
1265,0.0834944,0.497673
1267,0.0835098,0.49726
1269,0.0834711,0.497624
1271,0.0834411,0.497533
1273,0.0834762,0.497038
1275,0.0833647,0.497099
1277,0.0834835,0.496476
1279,0.0834165,0.496781
1281,0.083291,0.496843
1283,0.0833566,0.497362
1285,0.0835954,0.49812
1287,0.0835857,0.498455
1289,0.0836915,0.498448
1291,0.0837305,0.498675
1293,0.0838829,0.499332
1295,0.0838415,0.499593
1297,0.0839754,0.499564
1299,0.0840171,0.500055
1301,0.0839256,0.500285
1303,0.0839962,0.500831
1305,0.0839875,0.500992
1307,0.0840489,0.501323
1309,0.0840614,0.500935
1311,0.0841568,0.501487
1313,0.0840354,0.501503
1315,0.0840551,0.501875
1317,0.0839307,0.50181
1319,0.0838076,0.501798
1321,0.0837065,0.501601
1323,0.0837475,0.501702
1325,0.0836476,0.501504
1327,0.0836609,0.501122
1329,0.0837532,0.501333
1331,0.0839011,0.501422
1333,0.0839332,0.501158
1335,0.0838674,0.501339
1337,0.0838089,0.501052
1339,0.0837577,0.501253
1341,0.0837323,0.500876
1343,0.0837811,0.501381
1345,0.0837137,0.501663
1347,0.0837228,0.5013
1349,0.0837603,0.501366
1351,0.0836528,0.501518
1353,0.0835746,0.501352
1355,0.0835344,0.501663
1357,0.0836559,0.502264
1359,0.0837695,0.501689
1361,0.0838481,0.501726
1363,0.0837974,0.501491
1365,0.0838971,0.50162
1367,0.0839345,0.502032
1369,0.0838888,0.50174
1371,0.0837712,0.501673
1373,0.0837144,0.50155
1375,0.0836502,0.501273
1377,0.0837483,0.501826
1379,0.0837207,0.501474
1381,0.0837765,0.501934
1383,0.0838343,0.502429
1385,0.0837181,0.502477
1387,0.0836045,0.502428
1389,0.0834859,0.502448
1391,0.083385,0.502439
1393,0.0833579,0.502798
1395,0.0834602,0.503361
1397,0.0834682,0.503786
1399,0.0834957,0.504126
1401,0.0835633,0.504259
1403,0.0835367,0.504472
1405,0.0835658,0.504455
1407,0.0836529,0.503914
1409,0.083545,0.503954
1411,0.0834848,0.503667
1413,0.0835005,0.503304
1415,0.0835559,0.503383
1417,0.0834961,0.503664
1419,0.0834949,0.503276
1421,0.0835324,0.503422
1423,0.0835879,0.503786
1425,0.0835112,0.503867
1427,0.083513,0.504145
1429,0.0834501,0.503911
1431,0.0833361,0.503855
1433,0.0833342,0.504045
1435,0.0832384,0.50397
1437,0.0831528,0.504078
1439,0.0830851,0.504082
1441,0.0832517,0.504017
1443,0.083167,0.503963
1445,0.0832428,0.503894
1447,0.0832216,0.503871
1449,0.0831103,0.503938
1451,0.0831858,0.50445
1453,0.0830779,0.50436
1455,0.0831208,0.504382
1457,0.0831239,0.504782
1459,0.0831696,0.504585
1461,0.0832161,0.504121
1463,0.0831096,0.504209
1465,0.0832581,0.504124
1467,0.0832549,0.504035
1469,0.0832455,0.504156
1471,0.0833292,0.503656
1473,0.0833175,0.503997
1475,0.0833412,0.504336
1477,0.0832824,0.504501
1479,0.083344,0.504313
1481,0.0832584,0.504248
1483,0.0833011,0.504699
1485,0.0833977,0.504529
1487,0.0834976,0.505055
1489,0.0833976,0.505158
1491,0.0834143,0.505563
1493,0.0833504,0.505666
1495,0.0833011,0.505729
1497,0.0832225,0.50558
1499,0.08312,0.505636
1501,0.0830236,0.505545
1503,0.0830464,0.505587
1505,0.0830208,0.505295
1507,0.0829944,0.505156
1509,0.0830362,0.505191
1511,0.0829431,0.505305
1513,0.0828368,0.505308
1515,0.0827559,0.505146
1517,0.0827087,0.504861
1519,0.0827028,0.504934
1521,0.082778,0.504973
1523,0.0826887,0.505122
1525,0.0826943,0.505435
1527,0.0826702,0.505612
1529,0.0826706,0.505817
1531,0.0826127,0.505974
1533,0.0825316,0.505798
1535,0.0825925,0.50552
1537,0.0825895,0.505453
1539,0.082654,0.505535
1541,0.0827735,0.505476
1543,0.0826686,0.505434
1545,0.0826026,0.505543
1547,0.0826682,0.505993
1549,0.0827584,0.505512
1551,0.0827672,0.505827
1553,0.082747,0.505539
1555,0.0827911,0.505898
1557,0.0829647,0.505299
1559,0.0829294,0.505503
1561,0.0829552,0.505639
1563,0.0829029,0.505379
1565,0.0828415,0.505312
1567,0.0828561,0.505484
1569,0.0828436,0.505207
1571,0.0827674,0.505064
1573,0.0828564,0.504891
1575,0.0829066,0.505158
1577,0.0829327,0.505432
1579,0.0828954,0.50522
1581,0.082885,0.505192
1583,0.0827936,0.505213
1585,0.0829484,0.505151
1587,0.0829898,0.505512
1589,0.0830381,0.505165
1591,0.0830488,0.505409
1593,0.0830167,0.50571
1595,0.0829577,0.505484
1597,0.0830721,0.504972
1599,0.0830067,0.505097
1601,0.0830616,0.504684
1603,0.0831065,0.504844
1605,0.0831711,0.505289
1607,0.0831421,0.505287
1609,0.0832494,0.505799
1611,0.0832782,0.505714
1613,0.083261,0.505619
1615,0.0831967,0.505817
1617,0.0831736,0.50552
1619,0.0831309,0.505367
1621,0.0832179,0.505251
1623,0.0832029,0.505045
1625,0.0831503,0.505141
1627,0.0832053,0.505571
1629,0.0831251,0.505723
1631,0.0831565,0.505794
1633,0.083143,0.505733
1635,0.0830983,0.505541
1637,0.0831981,0.505589
1639,0.0832621,0.505462
1641,0.0832438,0.505691
1643,0.083214,0.505516
1645,0.0832317,0.505872
1647,0.0832907,0.505875
1649,0.0832528,0.505848
1651,0.0833929,0.505308
1653,0.0833816,0.505267
1655,0.0832856,0.505323
1657,0.0831905,0.505391
1659,0.0831833,0.505062
1661,0.0831378,0.504895
1663,0.08326,0.504883
1665,0.0832221,0.50487
1667,0.0832025,0.505033
1669,0.0832177,0.504663
1671,0.083319,0.504656
1673,0.0833495,0.50451
1675,0.0832717,0.504519
1677,0.0833587,0.504976
1679,0.08334,0.504666
1681,0.0832612,0.504555
1683,0.0832302,0.504272
1685,0.0832167,0.504507
1687,0.0832426,0.504426
1689,0.0832759,0.504095
1691,0.0832098,0.504037
1693,0.083126,0.503992
1695,0.0830554,0.503886
1697,0.0830886,0.504227
1699,0.0831315,0.504219
1701,0.0832289,0.503742
1703,0.0832993,0.504182
1705,0.0832841,0.50401
1707,0.0833261,0.503608
1709,0.0832405,0.5035
1711,0.0832351,0.503633
1713,0.0831919,0.503874
1715,0.083208,0.503525
1717,0.0831902,0.503756
1719,0.0832096,0.503957
1721,0.0832343,0.504313
1723,0.0831393,0.504329
1725,0.0832513,0.503838
1727,0.083219,0.504107
1729,0.083345,0.504088
1731,0.083308,0.503925
1733,0.0833468,0.504186
1735,0.0834749,0.503681
1737,0.083545,0.503253
1739,0.0834912,0.503058
1741,0.0834157,0.503208
1743,0.0833472,0.503049
1745,0.0832913,0.502857
1747,0.0832703,0.503146
1749,0.0832796,0.502812
1751,0.0832664,0.502768
1753,0.0832647,0.502836
1755,0.0832835,0.503171
1757,0.0831994,0.503071
1759,0.0831149,0.503087
1761,0.0830992,0.502818
1763,0.0830214,0.502803
1765,0.0829432,0.502937
1767,0.0828664,0.50303
1769,0.082864,0.503347
1771,0.0828623,0.503113
1773,0.0827898,0.502962
1775,0.0828012,0.503253
1777,0.0827734,0.503508
1779,0.0827803,0.503214
1781,0.0828156,0.503152
1783,0.0827545,0.503105
1785,0.0827959,0.503313
1787,0.082744,0.503481
1789,0.0827255,0.503245
1791,0.0827429,0.50325
1793,0.0827249,0.503302
1795,0.0827834,0.50336
1797,0.0827132,0.503415
1799,0.0826609,0.503327
1801,0.0825934,0.503388
1803,0.0825714,0.503666
1805,0.0825883,0.50353
1807,0.0825976,0.503673
1809,0.0825583,0.503703
1811,0.0826959,0.503203
1813,0.0826975,0.503289
1815,0.0826656,0.503274
1817,0.0826346,0.503018
1819,0.0826932,0.502877
1821,0.0826507,0.502669
1823,0.0825818,0.502798
1825,0.0826444,0.502664
1827,0.0825627,0.502698
1829,0.0825221,0.502494
1831,0.0825158,0.502787
1833,0.0825173,0.502978
1835,0.0825696,0.502759
1837,0.082677,0.502799
1839,0.0826789,0.50298
1841,0.0827027,0.503314
1843,0.0826157,0.503363
1845,0.0826065,0.503069
1847,0.0825744,0.503241
1849,0.082553,0.503435
1851,0.0825968,0.5035
1853,0.0826393,0.503411
1855,0.0826399,0.503254
1857,0.0825927,0.503099
1859,0.0825957,0.50335
1861,0.0825408,0.503184
1863,0.0824987,0.503234
1865,0.0824444,0.503264
1867,0.0824237,0.503352
1869,0.0823865,0.503121
1871,0.0824522,0.502734
1873,0.0824659,0.502704
1875,0.0823908,0.502689
1877,0.0824243,0.502398
1879,0.0824118,0.502616
1881,0.082438,0.502283
1883,0.0823619,0.502182
1885,0.0824468,0.502131
1887,0.0823721,0.502036
1889,0.0824271,0.50167
1891,0.0823947,0.501658
1893,0.0824553,0.501291
1895,0.0826004,0.500797
1897,0.0825265,0.500681
1899,0.0825137,0.500951
1901,0.0825351,0.500817
1903,0.0825313,0.501106
1905,0.0825308,0.501197
1907,0.0825676,0.501252
1909,0.0825992,0.501164
1911,0.0826335,0.500878
1913,0.0826733,0.500911
1915,0.0827034,0.500614
1917,0.0827843,0.501031
1919,0.0827478,0.500823
1921,0.0827568,0.50111
1923,0.0828147,0.501174
1925,0.0828686,0.501516
1927,0.0829415,0.501118
1929,0.0829786,0.50082
1931,0.0830145,0.500715
1933,0.0830123,0.50048
1935,0.0831222,0.500929
1937,0.0831453,0.500867
1939,0.0831246,0.50105
1941,0.0831053,0.500791
1943,0.0830254,0.500752
1945,0.0830876,0.500795
1947,0.0830873,0.500557
1949,0.0830997,0.500873
1951,0.0830506,0.50087
1953,0.0830006,0.500728
1955,0.0830516,0.500745
1957,0.0830943,0.500392
1959,0.0830677,0.500304
1961,0.0831532,0.500314
1963,0.0831351,0.50027
1965,0.0830668,0.500259
1967,0.0831107,0.499898
1969,0.0831695,0.499776
1971,0.0831954,0.500067
1973,0.083191,0.499795
1975,0.0831186,0.499706
1977,0.0831707,0.499635
1979,0.083153,0.499852
1981,0.0831514,0.500108
1983,0.083147,0.499929
1985,0.083137,0.499701
1987,0.0830929,0.499507
1989,0.0830106,0.499482
1991,0.0830554,0.499783
1993,0.0830015,0.499819
1995,0.0829924,0.500089
1997,0.0830387,0.500235
1999,0.0831175,0.50019
2001,0.0831591,0.500428
2003,0.0832168,0.500086
2005,0.0831528,0.500076
2007,0.0831305,0.500318
2009,0.083121,0.500071
2011,0.0830738,0.500227
2013,0.0831056,0.499899
2015,0.0830982,0.500019
2017,0.0830853,0.499839
2019,0.083147,0.499713
2021,0.0830928,0.499862
2023,0.0831143,0.500138
2025,0.0830378,0.500064
2027,0.083001,0.500272
2029,0.0829249,0.500235
2031,0.0828935,0.500333
2033,0.082978,0.50024
2035,0.0829262,0.500408
2037,0.082902,0.500238
2039,0.0828539,0.500057
2041,0.0829072,0.50042
2043,0.0829954,0.500013
2045,0.0831153,0.500457
2047,0.0830344,0.50044
2049,0.08309,0.500082
2051,0.0830175,0.500147
2053,0.0831015,0.500172
2055,0.0830323,0.500143
2057,0.0829825,0.50004
2059,0.083066,0.500062
2061,0.0831066,0.500399
2063,0.0830797,0.500455
2065,0.0831271,0.500337
2067,0.0831196,0.500482
2069,0.0830703,0.500619
2071,0.0830452,0.500411
2073,0.0830053,0.500353
2075,0.0829311,0.500403
2077,0.0830099,0.500476
2079,0.0830419,0.500154
