n,alpha,mean
363,0.0804273,0.538612
365,0.080387,0.537707
367,0.0800676,0.537824
369,0.0798215,0.538067
371,0.0794682,0.537679
373,0.07946,0.537415
375,0.0794686,0.536511
377,0.0791349,0.535912
379,0.0793296,0.5357
381,0.0793044,0.536232
383,0.0791932,0.536454
385,0.0787822,0.536481
387,0.078621,0.535907
389,0.0787556,0.536241
391,0.0784622,0.536232
393,0.0781039,0.53578
395,0.0783142,0.534385
397,0.0782336,0.535408
399,0.0784862,0.537108
401,0.0785457,0.536356
403,0.0781963,0.53609
405,0.0779672,0.535995
407,0.0783377,0.5351
409,0.078491,0.53498
411,0.078887,0.534638
413,0.0787848,0.534224
415,0.0785777,0.534505
417,0.0784862,0.534002
419,0.0781678,0.53355
421,0.0779362,0.534203
423,0.078471,0.532159
425,0.0783802,0.531657
427,0.0786562,0.531225
429,0.0785055,0.531926
431,0.0785954,0.531699
433,0.0787378,0.532267
435,0.0785043,0.531855
437,0.0787021,0.530869
439,0.0791939,0.528961
441,0.079105,0.529492
443,0.0789105,0.529244
445,0.0786254,0.529652
447,0.0783987,0.529905
449,0.0782979,0.53015
451,0.0784843,0.530371
453,0.0781771,0.530235
455,0.0783792,0.531748
457,0.0790726,0.529614
459,0.0787428,0.529867
461,0.0786968,0.530292
463,0.0786615,0.53143
465,0.0784899,0.531452
467,0.0786201,0.53112
469,0.0789591,0.531128
471,0.0791441,0.531759
473,0.0793886,0.532228
475,0.0796079,0.531144
477,0.0797391,0.531941
479,0.0796133,0.531023
481,0.0794327,0.530422
483,0.0794534,0.530554
485,0.0796299,0.530733
487,0.0797347,0.531883
489,0.0797314,0.530733
491,0.0797332,0.529971
493,0.0795243,0.529725
495,0.0796398,0.530255
497,0.0797288,0.529627
499,0.0797278,0.528941
501,0.0799007,0.527552
503,0.0801098,0.527786
505,0.0801924,0.528438
507,0.0800044,0.528667
509,0.0802015,0.527461
511,0.0800407,0.528215
513,0.083898,0.495429
515,0.0842006,0.495546
517,0.0839266,0.495099
519,0.0840771,0.49403
521,0.0838331,0.493701
523,0.0836831,0.49398
525,0.083425,0.49352
527,0.0833371,0.493654
529,0.083569,0.495009
531,0.0835277,0.496025
533,0.08338,0.495235
535,0.0831295,0.49476
537,0.083198,0.495639
539,0.0830877,0.494898
541,0.0831205,0.49582
543,0.0831937,0.496409
545,0.0829629,0.496048
547,0.0829543,0.497025
549,0.0831759,0.498408
551,0.083176,0.497529
553,0.0830867,0.496858
555,0.0829787,0.496409
557,0.0832182,0.497776
559,0.0831467,0.498462
561,0.0832141,0.499467
563,0.0831503,0.498566
565,0.0831998,0.499546
567,0.08293,0.499604
569,0.0827818,0.500224
571,0.082922,0.500218
573,0.0828281,0.500075
575,0.0832562,0.500195
577,0.0833953,0.501356
579,0.0831702,0.501819
581,0.0831498,0.502773
583,0.0836083,0.502752
585,0.0836056,0.501767
587,0.0837113,0.500998
589,0.0836486,0.500215
591,0.0836526,0.499607
593,0.0839562,0.499338
595,0.0840505,0.499734
597,0.0840391,0.500338
599,0.0841459,0.49934
601,0.0840513,0.499159
603,0.0839644,0.49842
605,0.0837802,0.497943
607,0.0837159,0.497165
609,0.0839688,0.495889
611,0.0842093,0.495579
613,0.0842164,0.496535
615,0.0846955,0.498103
617,0.0847798,0.497354
619,0.0850562,0.496052
621,0.0850347,0.496774
623,0.0850985,0.497069
625,0.0848591,0.497018
627,0.0849528,0.498098
629,0.0848281,0.497591
631,0.0849742,0.497653
633,0.0850145,0.49683
635,0.0849467,0.497432
637,0.0849497,0.497766
639,0.0850413,0.497089
641,0.0851597,0.498178
643,0.0849329,0.498496
645,0.0846969,0.498751
647,0.0844954,0.499181
649,0.0845804,0.49867
651,0.0847852,0.499858
653,0.0849077,0.498778
655,0.0848208,0.499374
657,0.0846625,0.499922
659,0.0845752,0.499285
661,0.0845858,0.499488
663,0.084452,0.498891
665,0.084431,0.499196
667,0.0844389,0.498885
669,0.0844626,0.498705
671,0.0843547,0.498462
673,0.0845142,0.499535
675,0.0843542,0.499298
677,0.0843818,0.499584
679,0.0842749,0.498962
681,0.0842989,0.498347
683,0.0841749,0.498302
685,0.0842911,0.497279
687,0.0843594,0.497478
689,0.0842516,0.498083
691,0.0842986,0.497643
693,0.084326,0.498118
695,0.0843854,0.498343
697,0.0845635,0.497305
699,0.084947,0.497219
701,0.0850505,0.496224
703,0.0850543,0.495838
705,0.0852784,0.496988
707,0.0851887,0.49685
709,0.0852875,0.497812
711,0.0851198,0.497612
713,0.0853686,0.49877
715,0.0856017,0.498954
717,0.0857688,0.499198
719,0.0858871,0.498883
721,0.0860337,0.498847
723,0.0859349,0.499028
725,0.0857905,0.498697
727,0.0859532,0.498457
729,0.0861122,0.498769
731,0.0859994,0.499022
733,0.0859721,0.498376
735,0.0860269,0.497752
737,0.0859931,0.497031
739,0.0860929,0.49612
741,0.0862458,0.496007
743,0.0863105,0.495203
745,0.0861679,0.495206
747,0.0860722,0.495014
749,0.0859198,0.49474
751,0.0857298,0.49442
753,0.0855852,0.494544
755,0.0857066,0.49463
757,0.0858661,0.494854
759,0.0857928,0.494699
761,0.0856989,0.49423
763,0.0855385,0.494121
765,0.0856845,0.494083
767,0.0856516,0.493424
769,0.0855028,0.493283
771,0.085412,0.492734
773,0.0852005,0.492724
775,0.0851815,0.492118
777,0.0851603,0.49276
779,0.0850347,0.492952
781,0.085198,0.492945
783,0.085163,0.492996
785,0.0853392,0.493985
787,0.0853822,0.493876
789,0.0854357,0.493837
791,0.0855396,0.494236
793,0.0854033,0.494037
795,0.0853975,0.493732
797,0.0855142,0.494566
799,0.0856393,0.494845
801,0.0854345,0.4949
803,0.0855654,0.494061
805,0.0857094,0.493745
807,0.0858609,0.493738
809,0.0858333,0.493993
811,0.0857779,0.493374
813,0.0860751,0.493391
815,0.0859593,0.493698
817,0.0860655,0.494438
819,0.0860078,0.494065
821,0.0858083,0.493975
823,0.0856339,0.494157
825,0.0858065,0.493197
827,0.0857799,0.493859
829,0.086035,0.492804
831,0.0859221,0.493275
833,0.0859687,0.492718
835,0.0857957,0.492924
837,0.0857635,0.493567
839,0.0857587,0.492957
841,0.085598,0.493277
843,0.0854369,0.493165
845,0.0853807,0.493741
847,0.0852455,0.493777
849,0.0852343,0.494109
851,0.0852634,0.494844
853,0.085122,0.49449
855,0.0849252,0.49442
857,0.0848192,0.494008
859,0.0846986,0.493708
861,0.0848164,0.493967
863,0.084827,0.493859
865,0.0850305,0.494799
867,0.0849823,0.494799
869,0.0848108,0.495031
871,0.0848659,0.495092
873,0.0848574,0.494445
875,0.0849701,0.495259
877,0.0851964,0.495345
879,0.0850427,0.495314
881,0.0851278,0.495801
883,0.0850916,0.495268
885,0.0849732,0.495648
887,0.0850692,0.495648
889,0.085184,0.495561
891,0.0852097,0.495246
893,0.0853392,0.495067
895,0.0855028,0.494917
897,0.085532,0.494547
899,0.0855503,0.49451
901,0.0854187,0.494867
903,0.0854573,0.495205
905,0.085524,0.495144
907,0.0855691,0.495854
909,0.0854563,0.495549
911,0.0855087,0.494832
913,0.0855745,0.495033
915,0.0854234,0.495309
917,0.0853813,0.495655
919,0.0853219,0.496168
921,0.0851459,0.49613
923,0.0850444,0.496512
925,0.0849625,0.49628
927,0.0848931,0.49674
929,0.0847414,0.496798
931,0.0848327,0.497111
933,0.0849026,0.496446
935,0.0849193,0.496554
937,0.0848955,0.496108
939,0.0847721,0.496447
941,0.0846604,0.4968
943,0.0846679,0.497258
945,0.084746,0.497799
947,0.0848215,0.497803
949,0.0850756,0.498759
951,0.0848976,0.498798
953,0.0847904,0.498418
955,0.0847855,0.498052
957,0.0847978,0.498663
959,0.0846448,0.498511
961,0.0846485,0.497932
963,0.0846959,0.497921
965,0.0847361,0.497631
967,0.0849583,0.49673
969,0.0849032,0.496538
971,0.0849073,0.497144
973,0.0848057,0.497234
975,0.0847013,0.496862
977,0.0845993,0.496536
979,0.0846052,0.495932
981,0.0845002,0.496034
983,0.0844291,0.496488
985,0.0846025,0.496309
987,0.0846217,0.49646
989,0.0844673,0.49662
991,0.0843374,0.496653
993,0.0844558,0.49679
995,0.0843981,0.497204
997,0.084397,0.497301
999,0.0842711,0.497444
1001,0.0841043,0.497411
1003,0.0841161,0.497447
1005,0.0840209,0.497182
1007,0.0839658,0.49682
1009,0.0840099,0.497117
1011,0.0839102,0.497105
1013,0.0839287,0.496586
1015,0.0841445,0.49572
1017,0.0841007,0.495241
1019,0.0841945,0.49592
1021,0.0842387,0.496173
1023,0.0842174,0.49642
1025,0.084138,0.496154
1027,0.0840537,0.496382
1029,0.084218,0.49559
1031,0.0841288,0.495317
1033,0.0839924,0.495408
1035,0.0840054,0.495594
1037,0.0840303,0.495992
1039,0.0840262,0.496208
1041,0.0841884,0.496066
1043,0.0842833,0.496154
1045,0.084208,0.495795
1047,0.0842911,0.496373
1049,0.0843194,0.496814
1051,0.0841862,0.496607
1053,0.0841243,0.496602
1055,0.0840797,0.49669
1057,0.0841525,0.497332
1059,0.0841961,0.497827
1061,0.084261,0.498468
1063,0.0841069,0.498462
1065,0.0840845,0.498436
1067,0.0840451,0.498039
1069,0.0840259,0.49803
1071,0.0842678,0.497167
1073,0.0842684,0.497159
1075,0.0843914,0.497299
1077,0.0844247,0.497632
1079,0.084522,0.498309
1081,0.0846228,0.498332
1083,0.0845951,0.497886
1085,0.0845848,0.498373
1087,0.0846776,0.499035
1089,0.0845287,0.498955
1091,0.0844594,0.498999
1093,0.0844393,0.49851
1095,0.0843993,0.49883
1097,0.0844679,0.499025
1099,0.0844384,0.498851
1101,0.084504,0.498587
1103,0.084522,0.498618
1105,0.084598,0.49865
1107,0.0846986,0.498018
1109,0.084777,0.497947
1111,0.0849143,0.498126
1113,0.0849521,0.498601
1115,0.0850054,0.498557
1117,0.085078,0.49794
1119,0.0849551,0.498162
1121,0.0848325,0.498076
1123,0.0849783,0.498796
1125,0.0849148,0.499091
1127,0.0847881,0.498911
1129,0.0850003,0.498977
1131,0.0849865,0.498748
1133,0.0849516,0.499174
1135,0.0849782,0.499593
1137,0.0852221,0.500426
1139,0.0853065,0.500337
1141,0.0854252,0.500156
1143,0.0854795,0.499983
1145,0.0854108,0.49981
1147,0.0853577,0.500132
1149,0.0853681,0.499621
1151,0.0853259,0.499908
1153,0.085182,0.499825
1155,0.0852677,0.500411
1157,0.0853605,0.499794
1159,0.0852393,0.4996
1161,0.0854612,0.498802
1163,0.0853429,0.498924
1165,0.0853257,0.499169
1167,0.0853658,0.499228
1169,0.0854332,0.498703
1171,0.0855696,0.498784
1173,0.0857969,0.497985
1175,0.0857829,0.498413
1177,0.085703,0.498113
1179,0.0855592,0.498094
1181,0.0855803,0.498504
1183,0.0856558,0.497974
1185,0.0856858,0.497503
1187,0.0857583,0.498029
1189,0.0857563,0.497626
1191,0.0859225,0.497701
1193,0.0857826,0.497627
1195,0.0857293,0.497752
1197,0.0858915,0.498454
1199,0.085887,0.497973
1201,0.086031,0.497292
1203,0.0860711,0.496798
1205,0.086072,0.49631
1207,0.0859622,0.496401
1209,0.0859392,0.496214
1211,0.0860476,0.496307
1213,0.0860803,0.495803
1215,0.0860254,0.495506
1217,0.085991,0.49512
1219,0.0859859,0.494754
1221,0.0860067,0.494471
1223,0.0860247,0.494177
1225,0.0858987,0.494065
1227,0.0857862,0.493864
1229,0.0856757,0.493862
1231,0.0855495,0.493798
1233,0.0856041,0.494354
1235,0.085658,0.49469
1237,0.0857661,0.494058
1239,0.0856785,0.494169
1241,0.0856094,0.493844
1243,0.0856233,0.49403
1245,0.0856489,0.493805
1247,0.0857738,0.493642
1249,0.0858085,0.493733
1251,0.0857534,0.493956
1253,0.0859466,0.493931
1255,0.0859275,0.494176
1257,0.0858351,0.493923
1259,0.0858015,0.494327
1261,0.0858369,0.494493
1263,0.0858465,0.494359
1265,0.0857958,0.494142
1267,0.0857264,0.494111
1269,0.0857479,0.493906
1271,0.0859408,0.494621
1273,0.0859344,0.49487
1275,0.086009,0.494312
1277,0.0862286,0.494295
1279,0.0863184,0.493711
1281,0.0863009,0.494026
1283,0.0864442,0.494669
1285,0.0864208,0.494992
1287,0.0864777,0.495121
1289,0.0866232,0.495241
1291,0.0866536,0.495039
1293,0.0866198,0.495093
1295,0.0865446,0.495266
1297,0.0864351,0.495096
1299,0.0865197,0.49564
1301,0.0864244,0.495828
1303,0.0865513,0.496459
1305,0.0865476,0.49624
1307,0.0866052,0.496671
1309,0.086743,0.49603
1311,0.086847,0.496603
1313,0.0867665,0.496841
1315,0.0868332,0.496765
1317,0.08687,0.496514
1319,0.086979,0.496356
1321,0.0870333,0.496137
1323,0.0870189,0.496259
1325,0.0868986,0.496311
1327,0.0868792,0.496721
1329,0.0868965,0.496372
1331,0.0868217,0.496627
1333,0.0867757,0.496501
1335,0.086714,0.496738
1337,0.086627,0.496919
1339,0.0866014,0.49708
1341,0.086582,0.496832
1343,0.0866558,0.496789
1345,0.0866441,0.497171
1347,0.0865861,0.496936
1349,0.0865502,0.496851
1351,0.0864968,0.496841
1353,0.086582,0.496828
1355,0.0866414,0.496349
1357,0.0866099,0.496723
1359,0.0866537,0.496633
1361,0.086664,0.496723
1363,0.0865552,0.496577
1365,0.0865232,0.496837
1367,0.086495,0.496458
1369,0.0863924,0.496439
1371,0.086517,0.496426
1373,0.0865534,0.496895
1375,0.0866124,0.496606
1377,0.0865565,0.496422
1379,0.0866055,0.49593
1381,0.0865042,0.495745
1383,0.086568,0.495897
1385,0.0866071,0.496212
1387,0.0865611,0.496037
1389,0.0865072,0.496352
1391,0.0866978,0.496326
1393,0.0866041,0.496206
1395,0.0866399,0.495842
1397,0.086634,0.495744
1399,0.0865523,0.495578
1401,0.0864718,0.49533
1403,0.0864988,0.494946
1405,0.0864288,0.4947
1407,0.0863803,0.495008
1409,0.086302,0.495244
1411,0.086514,0.495253
1413,0.0866738,0.495283
1415,0.0865972,0.495128
1417,0.0866841,0.495665
1419,0.0866179,0.495946
1421,0.0865125,0.496052
1423,0.0865748,0.495864
1425,0.0866728,0.495939
1427,0.0868051,0.495343
1429,0.0868045,0.495467
1431,0.0867588,0.495318
1433,0.0868198,0.495069
1435,0.0868448,0.49514
1437,0.086824,0.495339
1439,0.0868822,0.495111
1441,0.0867878,0.495293
1443,0.0868617,0.495755
1445,0.0867984,0.495672
1447,0.0867479,0.495504
1449,0.086866,0.495474
1451,0.0867901,0.495344
1453,0.0868127,0.495685
1455,0.0866983,0.495731
1457,0.086696,0.495555
1459,0.0867352,0.495931
1461,0.086823,0.496004
1463,0.0867883,0.495816
1465,0.0867527,0.495512
1467,0.0866421,0.495525
1469,0.0866845,0.495071
1471,0.0866496,0.495364
1473,0.0865808,0.495599
1475,0.0864733,0.495513
1477,0.0864545,0.495862
1479,0.0865753,0.496429
1481,0.0865258,0.496265
1483,0.0865163,0.495964
1485,0.0866373,0.495403
1487,0.086569,0.495289
1489,0.0865498,0.495162
1491,0.0864933,0.495034
1493,0.0864109,0.494825
1495,0.086374,0.494587
1497,0.0863048,0.494811
1499,0.0864767,0.494849
1501,0.0863965,0.495065
1503,0.0863558,0.495222
1505,0.086307,0.494929
1507,0.0863649,0.494841
1509,0.0864407,0.495314
1511,0.0864747,0.495658
1513,0.0864779,0.495875
1515,0.0865129,0.495675
1517,0.0864496,0.495456
1519,0.086474,0.49505
1521,0.08637,0.494972
1523,0.0863022,0.495217
1525,0.086349,0.495674
1527,0.0863134,0.495532
1529,0.0862515,0.495301
1531,0.0862622,0.495086
1533,0.086252,0.495282
1535,0.0862295,0.49503
1537,0.0861837,0.495022
1539,0.0861549,0.49496
1541,0.0862689,0.495064
1543,0.086302,0.495156
1545,0.0862925,0.495461
1547,0.0864589,0.495433
1549,0.0864913,0.495008
1551,0.086481,0.494745
1553,0.0864526,0.49507
1555,0.0864138,0.494918
1557,0.0863254,0.494886
1559,0.0864263,0.494377
1561,0.0863704,0.494607
1563,0.0863704,0.494315
1565,0.0863238,0.49416
1567,0.086323,0.494471
1569,0.0863318,0.494859
1571,0.0862908,0.495123
1573,0.0863803,0.495622
1575,0.0862976,0.495766
1577,0.086233,0.495998
1579,0.0861946,0.496229
1581,0.0861806,0.496542
1583,0.0860978,0.49648
1585,0.0859951,0.496411
1587,0.0861108,0.495889
1589,0.0860832,0.496004
1591,0.0861296,0.495635
1593,0.0862086,0.49515
1595,0.086198,0.495255
1597,0.086109,0.495307
1599,0.0860511,0.495119
1601,0.0860618,0.495127
1603,0.0860631,0.494771
1605,0.0861198,0.49517
1607,0.0860382,0.495186
1609,0.086004,0.495069
1611,0.0859533,0.494877
1613,0.085906,0.495076
1615,0.0859651,0.494631
1617,0.0860533,0.494775
1619,0.0860619,0.494793
1621,0.0860088,0.494675
1623,0.0859824,0.494631
1625,0.0860186,0.494243
1627,0.0861816,0.494239
1629,0.0861166,0.494068
1631,0.0860315,0.494139
1633,0.0860798,0.494003
1635,0.0860564,0.494312
1637,0.0859794,0.494415
1639,0.0860076,0.494048
1641,0.0859498,0.493983
1643,0.0859097,0.494142
1645,0.0859391,0.494539
1647,0.0858867,0.494781
1649,0.0859441,0.494761
1651,0.0858675,0.494925
1653,0.085925,0.494828
1655,0.085836,0.494696
1657,0.0857998,0.494856
1659,0.0857379,0.494633
1661,0.0856949,0.494897
1663,0.0857526,0.495311
1665,0.0856933,0.495462
1667,0.0856534,0.495223
1669,0.0855976,0.495038
1671,0.0855697,0.49526
1673,0.0855138,0.495291
1675,0.0854389,0.495153
1677,0.0854941,0.495236
1679,0.0854533,0.494972
1681,0.0854459,0.495307
1683,0.0855425,0.495218
1685,0.0854462,0.495215
1687,0.0854087,0.494966
1689,0.0853856,0.49519
1691,0.0853048,0.495316
1693,0.0852465,0.495269
1695,0.0852219,0.495269
1697,0.0851401,0.495306
1699,0.0851619,0.495639
1701,0.0851491,0.495384
1703,0.0851153,0.495566
1705,0.0850991,0.49588
1707,0.0851581,0.496053
1709,0.0850777,0.496178
1711,0.085002,0.496031
1713,0.0849383,0.495827
1715,0.0849575,0.495913
1717,0.0848972,0.496032
1719,0.0848375,0.49596
1721,0.084977,0.496486
1723,0.0849968,0.49612
1725,0.0849111,0.496098
1727,0.0850852,0.49666
1729,0.0852156,0.496624
1731,0.0851995,0.49648
1733,0.0852131,0.496158
1735,0.0853206,0.496216
1737,0.0853162,0.496281
1739,0.0853047,0.496063
1741,0.0852653,0.496191
1743,0.085362,0.496235
1745,0.0853453,0.496204
1747,0.0853865,0.495914
1749,0.0853331,0.495871
1751,0.0853374,0.495704
1753,0.085331,0.495382
1755,0.0853484,0.495742
1757,0.085315,0.495981
1759,0.0852693,0.496207
1761,0.08521,0.49627
1763,0.0852491,0.496181
1765,0.0851818,0.496286
1767,0.0851565,0.496006
1769,0.0852178,0.496185
1771,0.0852232,0.496524
1773,0.0851905,0.496792
1775,0.0851963,0.49701
1777,0.0853157,0.497502
1779,0.0853371,0.497809
1781,0.0854158,0.497375
1783,0.0853734,0.497154
1785,0.0854254,0.496764
1787,0.0854561,0.496785
1789,0.0855489,0.497241
1791,0.0854581,0.497274
1793,0.0854205,0.497027
1795,0.0853879,0.497283
1797,0.085482,0.49774
1799,0.0855919,0.497749
1801,0.085628,0.497787
1803,0.0856605,0.498149
1805,0.0855862,0.498298
1807,0.0855015,0.498265
1809,0.0854277,0.49821
1811,0.085438,0.498169
1813,0.0853655,0.498014
1815,0.0853409,0.497889
1817,0.0852654,0.497751
1819,0.0852021,0.497602
1821,0.0852339,0.497724
1823,0.0852166,0.497985
1825,0.0851894,0.497804
1827,0.08519,0.497533
1829,0.0851033,0.497466
1831,0.0851335,0.497254
1833,0.0850895,0.497322
1835,0.0851186,0.497578
1837,0.0851062,0.497737
1839,0.0851461,0.498022
1841,0.0851227,0.497957
1843,0.0850679,0.498124
1845,0.0851817,0.498106
1847,0.0851539,0.497896
1849,0.0851007,0.497829
1851,0.0850359,0.497973
1853,0.0849478,0.498035
1855,0.0849364,0.497962
1857,0.0849407,0.497778
1859,0.0848951,0.497921
1861,0.084964,0.497855
1863,0.0849841,0.497569
1865,0.0848978,0.497638
1867,0.0849454,0.497842
1869,0.0849493,0.49802
1871,0.0849912,0.49834
1873,0.0849366,0.498521
1875,0.0849182,0.498416
1877,0.0848588,0.498402
1879,0.0849481,0.498407
1881,0.0850083,0.498802
1883,0.0849191,0.498768
1885,0.0848457,0.49877
1887,0.0848142,0.498574
1889,0.0848836,0.498658
1891,0.084924,0.498756
1893,0.0849971,0.499157
1895,0.084933,0.499168
1897,0.0849512,0.498944
1899,0.084978,0.499099
1901,0.0850147,0.499252
1903,0.0849286,0.499311
1905,0.0849601,0.499199
1907,0.0849469,0.499159
1909,0.0849968,0.498801
1911,0.0850301,0.499118
1913,0.0851095,0.498698
1915,0.0850231,0.49865
1917,0.0849674,0.498825
1919,0.0850692,0.49927
1921,0.0850496,0.49949
1923,0.0850284,0.499239
1925,0.0850613,0.499594
1927,0.0850018,0.499624
1929,0.085103,0.499588
1931,0.0850976,0.499671
1933,0.0850867,0.499792
1935,0.0850051,0.499713
1937,0.0849257,0.499805
1939,0.0849006,0.49969
1941,0.0849393,0.500048
1943,0.0849731,0.500331
1945,0.0850982,0.500287
1947,0.0850217,0.500332
1949,0.0849482,0.500325
1951,0.0849181,0.500189
1953,0.0848962,0.500177
1955,0.0849019,0.499964
1957,0.084864,0.499855
1959,0.0847796,0.499811
1961,0.0847583,0.499806
1963,0.0846938,0.499775
1965,0.084641,0.499949
1967,0.0847053,0.499564
1969,0.0846729,0.499337
1971,0.0846725,0.499344
1973,0.0847065,0.499039
1975,0.0847662,0.49911
1977,0.0846999,0.49912
1979,0.0847345,0.499404
1981,0.0848271,0.498983
1983,0.0848301,0.498689
1985,0.0848314,0.498964
1987,0.0847598,0.498865
1989,0.0847807,0.499189
1991,0.0848702,0.499213
1993,0.0848128,0.499108
1995,0.0848185,0.499036
1997,0.0848946,0.499422
1999,0.0848401,0.499247
2001,0.0849498,0.499306
2003,0.0849775,0.499091
2005,0.0849217,0.499204
2007,0.08501,0.499616
2009,0.0849328,0.499583
2011,0.0849086,0.499708
2013,0.0849607,0.500044
2015,0.0848938,0.500164
2017,0.0849391,0.499998
2019,0.0849639,0.499775
2021,0.0850308,0.500151
2023,0.0849717,0.50012
2025,0.0849342,0.499912
2027,0.0848871,0.499754
2029,0.0849124,0.499699
2031,0.084905,0.499536
2033,0.084975,0.499533
2035,0.0849634,0.499295
2037,0.0850135,0.49927
2039,0.0850008,0.499006
2041,0.0850189,0.498871
2043,0.0849581,0.498862
2045,0.0849854,0.498558
2047,0.0850057,0.498861
2049,0.0850307,0.498992
2051,0.085054,0.498675
2053,0.0851142,0.499047
2055,0.085095,0.498841
2057,0.0851262,0.498879
2059,0.0850674,0.49873
2061,0.0850882,0.499015
2063,0.0850093,0.498999
2065,0.0850324,0.498805
2067,0.0851045,0.499191
2069,0.085094,0.499105
2071,0.0851024,0.498827
2073,0.0850865,0.498813
2075,0.0850391,0.498785
2077,0.0850513,0.498606
2079,0.0850939,0.498792
2081,0.0850479,0.498662
2083,0.0849703,0.498622
2085,0.0850648,0.498631
